iso-code,language-in-english,language-in-language
ny,Chichewa,Chi-Chewa
oc,Occitan,occitan
olo,Livvi-Karelian,livvinkarjala
om,Oromo,Oromoo
or,Odia,ଓଡ଼ିଆ
os,Ossetic,ирон
pa,Punjabi,ਪੰਜਾਬੀ
pag,Pangasinan,Pangasinan
pam,Pampanga,Kapampangan
pap,Papiamento,Papiamentu
pcd,Picard,Picard
pcm,Nigerian Pidgin,Naijá
pdc,Pennsylvania German,Deitsch
pfl,Palatine German,Pälzisch
pih,Pitcairn-Norfolk,Norfuk
pl,Polish,polski
pms,Piedmontese,Piemontèis
pnt,Pontic,Ποντιακά
pt,Portuguese,português
pwn,Paiwan,pinayuanan
qu,Quechua,Runa Simi
rm,Romansh,rumantsch
rmy,Vlax Romani,romani čhib
rn,Rundi,ikirundi
ro,Romanian,română
ru,Russian,русский
rue,Rusyn,русиньскый
rup,Aromanian,armãneashti
rw,Kinyarwanda,Ikinyarwanda
sah,Yakut,саха тыла
sat,Santali,ᱥᱟᱱᱛᱟᱲᱤ
sc,Sardinian,sardu
scn,Sicilian,sicilianu
sco,Scots,Scots
se,Northern Sami,davvisámegiella
sg,Sango,Sängö
sgs,Samogitian,žemaitėška
shi,Tachelhit,Taclḥit
sk,Slovak,slovenčina
sl,Slovenian,slovenščina
sm,Samoan,Gagana Samoa
smn,Inari Sami,anarâškielâ
sn,Shona,chiShona
so,Somali,Soomaaliga
sq,Albanian,shqip
sr,Serbian,српски
srn,Sranan Tongo,Sranantongo
ss,Swati,SiSwati
st,Southern Sotho,Sesotho
stq,Saterland Frisian,Seeltersk
su,Sundanese,Sunda
sv,Swedish,svenska
sw,Swahili,Kiswahili
szl,Silesian,ślůnski
szy,Sakizaya,Sakizaya
tay,Atayal,Tayal
tcy,Tulu,ತುಳು
tet,Tetum,tetun
tg,Tajik,тоҷикӣ
ti,Tigrinya,ትግርኛ
tk,Turkmen,Türkmençe
tl,Tagalog,Tagalog
tly,Talysh,tolışi
tn,Tswana,Setswana
to,Tongan,lea faka-Tonga
tpi,Tok Pisin,Tok Pisin
tr,Turkish,Türkçe
trv,Taroko,Seediq
ts,Tsonga,Xitsonga
tt,Tatar,татарча
tum,Tumbuka,chiTumbuka
tw,Twi,Twi
ty,Tahitian,reo tahiti
udm,Udmurt,удмурт
uk,Ukrainian,українська
uz,Uzbek,oʻzbekcha
ve,Venda,Tshivenda
vec,Venetian,vèneto
vep,Veps,vepsän kel’
vi,Vietnamese,Tiếng Việt
vls,West Flemish,West-Vlams
vo,Volapük,Volapük
vro,Võro,võro
wa,Walloon,walon
war,Waray,Winaray
wo,Wolof,Wolof
xal,Kalmyk,хальмг
xh,Xhosa,isiXhosa
xmf,Mingrelian,მარგალური
yo,Yoruba,Yorùbá
za,Zhuang,Vahcuengh
zea,Zeelandic,Zeêuws
zu,Zulu,isiZulu
